  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  7.9500e-13          155.36120808    155822245.37606150        8200.21155302         -138.88877512         8061.32277790 
  8.0000e-13          155.38887674            0.00000000        8201.67194851         -148.97341566         8052.69853285 
  8.0500e-13          155.42732421    312624517.82983744        8203.70126722         -153.65598342         8050.04528380 
  8.1000e-13          155.47665601    129976258.29408745        8206.30507799         -140.20390532         8066.10117267 
  8.1500e-13          155.53275878     81741309.60978121        8209.26627136         -146.43368728         8062.83258408 
  8.2000e-13          155.58456750    109403403.19034842        8212.00081826         -152.37523295         8059.62558531 
  8.2500e-13          155.64009182    246778744.26711938        8214.93147987         -145.27871369         8069.65276618 
  8.3000e-13          155.70293953    321509983.82130468        8218.24868223         -139.58540043         8078.66328181 
  8.3500e-13          155.75484985     74322164.48197116        8220.98859108         -140.29273908         8080.69585200 
  8.4000e-13          155.80903333    255174203.08913103        8223.84848147         -139.57273001         8084.27575146 
  8.4500e-13          155.86237812    212840463.35903525        8226.66410450         -145.24234522         8081.42175928 
  8.5000e-13          155.91945628    181636284.39426786        8229.67678055         -149.68973340         8079.98704715 
  8.5500e-13          155.97439054    164925209.74362305        8232.57629808         -134.08047764         8098.49582044 
  8.6000e-13          156.02096128    204159977.79315194        8235.03437554         -154.71481163         8080.31956391 
  8.6500e-13          156.05896070    218130374.38563299        8237.04004555         -123.76760522         8113.27244033 
  8.7000e-13          156.07744217    166824611.50165072        8238.01552696         -141.76947349         8096.24605347 
  8.7500e-13          156.08335347    258228709.90323353        8238.32753445         -145.96735118         8092.36018327 
  8.8000e-13          156.07067451    163698268.53258964        8237.65831878         -150.80023659         8086.85808218 
  8.8500e-13          156.04178764    223462769.50686425        8236.13362408         -145.88284112         8090.25078296 
  8.9000e-13          155.98684847    108581163.54199180        8233.23384715         -146.96165602         8086.27219114 
  8.9500e-13          155.90881951     81989636.58186996        8229.11535449         -136.93305155         8092.18230293 
  9.0000e-13          155.81287851    165819947.79448754        8224.05143631         -148.32605723         8075.72537908 
  9.0500e-13          155.70362076    222065613.38339007        8218.28463826         -149.34013184         8068.94450642 
  9.1000e-13          155.58503988    355108443.38601357        8212.02575091         -144.49222686         8067.53352405 
  9.1500e-13          155.45769662    269936923.17828709        8205.30437128         -132.28056547         8073.02380582 
  9.2000e-13          155.32430095    188491582.26546085        8198.26353558         -145.00064541         8053.26289017 
  9.2500e-13          155.18956160    331460155.99800962        8191.15177865         -135.17861261         8055.97316604 
  9.3000e-13          155.05474594    212465349.62239492        8184.03599368         -139.13117440         8044.90481928 
  9.3500e-13          154.92007539    331900785.58274615        8176.92786804         -127.31586853         8049.61199951 
  9.4000e-13          154.78658354     62961422.43631417        8169.88195589         -150.29570074         8019.58625515 
  9.4500e-13          154.65833138    129784014.20478687        8163.11260295         -128.45878374         8034.65381920 
